Step,Scaffold,SMILES,EXP 4 - Tanimoto,total_score,ID
699.0,c1ccc(CN2CCc3ccccc32)cc1,c1ccc(CN2CCc3ccccc32)cc1,1.0,1.0,Automated Curriculum Learning Demo_0
699.0,CCc1ccccc1N(CC)Cc1ccccc1,CCc1ccccc1N(CC)Cc1ccccc1,0.800000011920929,0.800000011920929,Automated Curriculum Learning Demo_1
699.0,Cc1cccc(CN2CCc3ccccc32)c1,Cc1cccc(CN2CCc3ccccc32)c1,0.7887324094772339,0.7887324094772339,Automated Curriculum Learning Demo_2
699.0,O=c1ccccc(CN2CCc3ccccc32)c1,O=c1ccccc(CN2CCc3ccccc32)c1,0.7837837934494019,0.7837837934494019,Automated Curriculum Learning Demo_3
699.0,O=c1cccc(CN2CCc3ccccc32)cc1,O=c1cccc(CN2CCc3ccccc32)cc1,0.7837837934494019,0.7837837934494019,Automated Curriculum Learning Demo_4
699.0,c1ccc(CN2CCCc3ccccc32)cc1,c1ccc(CN2CCCc3ccccc32)cc1,0.7777777910232544,0.7777777910232544,Automated Curriculum Learning Demo_5
699.0,Cc1ccc(CN2CCc3ccccc32)cc1,Cc1ccc(CN2CCc3ccccc32)cc1,0.7746478915214539,0.7746478915214539,Automated Curriculum Learning Demo_6
699.0,Clc1ccc(CN2CCc3ccccc32)cc1,Clc1ccc(CN2CCc3ccccc32)cc1,0.7746478915214539,0.7746478915214539,Automated Curriculum Learning Demo_7
699.0,Fc1ccc(CN2CCc3ccccc32)cc1,Fc1ccc(CN2CCc3ccccc32)cc1,0.7746478915214539,0.7746478915214539,Automated Curriculum Learning Demo_8
700.0,Brc1ccc(CN2CCc3ccccc32)cc1,Brc1ccc(CN2CCc3ccccc32)cc1,0.7746478915214539,0.7746478915214539,Automated Curriculum Learning Demo_9
701.0,Nc1cccc(CN2CCc3ccccc32)c1,Nc1cccc(CN2CCc3ccccc32)c1,0.7638888955116272,0.7638888955116272,Automated Curriculum Learning Demo_10
